iter	MultiClass
0	0.9474975079
1	0.7851946203
2	0.677209409
3	0.5729206798
4	0.4985691465
5	0.4283756126
6	0.3906750475
7	0.3559470972
8	0.3181605359
9	0.2963177808
10	0.2738930618
11	0.2574407967
12	0.2427343402
13	0.2296165862
14	0.2127309814
15	0.2026546922
16	0.1935107211
17	0.1844858143
18	0.1798731298
19	0.1705076549
20	0.1614625619
21	0.1538082432
22	0.148416091
23	0.144011424
24	0.1386494726
25	0.1333025877
26	0.1276616039
27	0.1243774357
28	0.1210192797
29	0.1174779251
30	0.1136740552
31	0.1097351112
32	0.1060079899
33	0.1030768201
34	0.1012490924
35	0.09883924102
36	0.09700783176
37	0.09330193653
38	0.09073081113
39	0.08820408084
40	0.08551384602
41	0.08311577638
42	0.08063405044
43	0.07920528295
44	0.07783694964
45	0.07608370773
46	0.07457707532
47	0.07181785811
48	0.07029449336
49	0.06938547266
50	0.06812463613
51	0.06742701795
52	0.06468760906
53	0.06310094038
54	0.06211697735
55	0.06083192609
56	0.0593101566
57	0.0585024961
58	0.05771736084
59	0.05615295967
60	0.05484739287
61	0.0539662854
62	0.05309601378
63	0.05209618562
64	0.05122350268
65	0.05027069022
66	0.04940506377
67	0.04808452956
68	0.04732432294
69	0.04656296127
70	0.04604380426
71	0.04547437884
72	0.04481352337
73	0.0443142926
74	0.04365093592
75	0.04258224047
76	0.04216249438
77	0.04163626029
78	0.0411468551
79	0.04067570143
80	0.03926653708
81	0.03890486321
82	0.03829761316
83	0.03784353148
84	0.03751330102
85	0.03711670193
86	0.03666932027
87	0.03625999972
88	0.03587685961
89	0.03565296123
90	0.03464464496
91	0.03385911929
92	0.0335632571
93	0.03281628351
94	0.03226331712
95	0.03185227376
96	0.03156621218
97	0.03127238773
98	0.0309607773
99	0.03068844047
100	0.03038899997
101	0.03012449188
102	0.02962359162
103	0.02922496014
104	0.02900580439
105	0.02876923072
106	0.02852302091
107	0.02826450079
108	0.0280554738
109	0.02781553753
110	0.02747985302
111	0.02729016098
112	0.02689524804
113	0.02650610601
114	0.02631168533
115	0.02609811606
116	0.02587969386
117	0.02537330555
118	0.02512138184
119	0.0249600192
120	0.02473380516
121	0.0246394271
122	0.02445755819
123	0.02428194185
124	0.02409176055
125	0.02386725267
126	0.0236715318
127	0.02354259926
128	0.02336670988
129	0.02324616445
130	0.02308010834
131	0.02294660075
132	0.02254384433
133	0.02244147938
134	0.0221579232
135	0.02197089042
136	0.02181706797
137	0.02166493326
138	0.02142908559
139	0.02127656143
140	0.02116789346
141	0.02100889867
142	0.02076099955
143	0.02047799637
144	0.02036330153
145	0.02012141541
146	0.02001200214
147	0.01994270217
148	0.01978011672
149	0.01956399997
